ID,Coordinates
P35000_58500,POINT (-58.5 -35)
P35000_58475,POINT (-58.474998474121094 -35)
P35000_58450,POINT (-58.45000076293945 -35)
P35000_58425,POINT (-58.42499923706055 -35)
P35000_58400,POINT (-58.400001525878906 -35)
P35000_58375,POINT (-58.375 -35)
P35000_58350,POINT (-58.349998474121094 -35)
P35000_58325,POINT (-58.32500076293945 -35)
P35000_58300,POINT (-58.29999923706055 -35)
P35000_58275,POINT (-58.275001525878906 -35)
P35000_58250,POINT (-58.25 -35)
P35000_58225,POINT (-58.224998474121094 -35)
P35000_58200,POINT (-58.20000076293945 -35)
P35000_58175,POINT (-58.17499923706055 -35)
P34975_58500,POINT (-58.5 -34.974998474121094)
P34975_58475,POINT (-58.474998474121094 -34.974998474121094)
P34975_58450,POINT (-58.45000076293945 -34.974998474121094)
P34975_58425,POINT (-58.42499923706055 -34.974998474121094)
P34975_58400,POINT (-58.400001525878906 -34.974998474121094)
P34975_58375,POINT (-58.375 -34.974998474121094)
P34975_58350,POINT (-58.349998474121094 -34.974998474121094)
P34975_58325,POINT (-58.32500076293945 -34.974998474121094)
P34975_58300,POINT (-58.29999923706055 -34.974998474121094)
P34975_58275,POINT (-58.275001525878906 -34.974998474121094)
P34975_58250,POINT (-58.25 -34.974998474121094)
P34975_58225,POINT (-58.224998474121094 -34.974998474121094)
P34975_58200,POINT (-58.20000076293945 -34.974998474121094)
P34975_58175,POINT (-58.17499923706055 -34.974998474121094)
P34950_58500,POINT (-58.5 -34.95000076293945)
P34950_58475,POINT (-58.474998474121094 -34.95000076293945)
P34950_58450,POINT (-58.45000076293945 -34.95000076293945)
P34950_58425,POINT (-58.42499923706055 -34.95000076293945)
P34950_58400,POINT (-58.400001525878906 -34.95000076293945)
P34950_58375,POINT (-58.375 -34.95000076293945)
P34950_58350,POINT (-58.349998474121094 -34.95000076293945)
P34950_58325,POINT (-58.32500076293945 -34.95000076293945)
P34950_58300,POINT (-58.29999923706055 -34.95000076293945)
P34950_58275,POINT (-58.275001525878906 -34.95000076293945)
P34950_58250,POINT (-58.25 -34.95000076293945)
P34950_58225,POINT (-58.224998474121094 -34.95000076293945)
P34950_58200,POINT (-58.20000076293945 -34.95000076293945)
P34950_58175,POINT (-58.17499923706055 -34.95000076293945)
P34925_58500,POINT (-58.5 -34.92499923706055)
P34925_58475,POINT (-58.474998474121094 -34.92499923706055)
P34925_58450,POINT (-58.45000076293945 -34.92499923706055)
P34925_58425,POINT (-58.42499923706055 -34.92499923706055)
P34925_58400,POINT (-58.400001525878906 -34.92499923706055)
P34925_58375,POINT (-58.375 -34.92499923706055)
P34925_58350,POINT (-58.349998474121094 -34.92499923706055)
P34925_58325,POINT (-58.32500076293945 -34.92499923706055)
P34925_58300,POINT (-58.29999923706055 -34.92499923706055)
P34925_58275,POINT (-58.275001525878906 -34.92499923706055)
P34925_58250,POINT (-58.25 -34.92499923706055)
P34925_58225,POINT (-58.224998474121094 -34.92499923706055)
P34925_58200,POINT (-58.20000076293945 -34.92499923706055)
P34925_58175,POINT (-58.17499923706055 -34.92499923706055)
P34900_58500,POINT (-58.5 -34.900001525878906)
P34900_58475,POINT (-58.474998474121094 -34.900001525878906)
P34900_58450,POINT (-58.45000076293945 -34.900001525878906)
P34900_58425,POINT (-58.42499923706055 -34.900001525878906)
P34900_58400,POINT (-58.400001525878906 -34.900001525878906)
P34900_58375,POINT (-58.375 -34.900001525878906)
P34900_58350,POINT (-58.349998474121094 -34.900001525878906)
P34900_58325,POINT (-58.32500076293945 -34.900001525878906)
